time,angle,tone,sound
0.25,62.1,False,False
0.4,62.1,False,False
0.46,63.43,False,False
0.52,63.43,False,False
0.57,64.54,False,False
0.63,64.18,False,False
0.69,64.89,False,False
0.74,64.89,False,False
0.8,63.43,False,False
0.85,64.89,False,False
0.9,64.54,False,False
0.95,65.56,False,False
1.01,63.43,False,False
1.06,62.7,False,False
1.12,63.07,False,False
1.17,62.7,False,False
1.22,63.07,False,False
1.27,63.07,False,False
1.32,63.43,False,False
1.37,62.7,False,False
1.43,62.7,False,False
1.48,63.43,False,False
1.53,62.7,False,False
1.58,63.07,False,False
1.63,62.7,False,False
1.7,62.7,False,False
1.75,62.7,False,False
1.8,62.7,False,False
1.85,63.43,False,False
1.91,63.43,False,False
1.96,62.7,False,False
2.01,63.43,False,False
2.06,63.07,False,False
2.11,63.07,False,False
2.16,62.7,False,False
2.22,61.26,False,False
2.27,62.7,False,False
2.33,62.7,False,False
2.38,62.7,False,False
2.43,64.16,False,False
2.49,63.07,False,False
2.54,61.26,False,False
2.59,63.43,False,False
2.65,62.32,False,False
2.7,62.7,False,False
2.75,63.43,False,False
2.81,62.7,False,False
2.86,63.43,False,False
2.91,62.7,False,False
2.96,63.43,False,False
3.02,63.43,False,False
3.09,63.07,False,False
3.15,63.07,False,False
3.2,63.43,False,False
3.25,62.7,False,False
3.3,62.7,False,False
3.36,63.43,False,False
3.41,63.07,False,False
3.46,62.7,False,False
3.52,63.43,False,False
3.57,62.7,False,False
3.62,63.43,False,False
3.67,63.43,False,False
3.73,61.93,False,False
3.78,62.7,False,False
3.83,62.7,False,False
3.88,62.7,False,False
3.93,63.43,False,False
3.99,62.7,False,False
4.04,62.7,False,False
4.09,62.7,False,False
4.15,62.7,False,False
4.2,62.7,False,False
4.25,63.43,False,False
4.3,62.7,False,False
4.36,62.7,False,False
4.41,62.7,False,False
4.46,61.93,False,False
4.53,62.7,False,False
4.59,63.43,False,False
4.64,63.43,False,False
4.69,61.93,False,False
4.74,62.7,False,False
4.8,62.7,False,False
4.85,62.7,False,False
4.91,63.43,False,False
4.97,62.7,False,False
5.02,63.43,False,False
5.07,62.32,False,False
5.12,62.68,False,False
5.18,62.7,False,False
5.23,64.18,False,False
5.28,62.7,False,False
5.33,62.7,False,False
5.38,61.93,False,False
5.44,62.32,False,False
5.5,62.7,False,False
5.55,61.93,False,False
5.6,63.43,False,False
5.65,63.43,False,False
5.71,62.7,False,False
5.76,62.7,False,False
5.82,62.7,False,False
5.87,62.7,False,False
5.92,63.43,False,False
6.0,62.32,False,False
6.05,61.93,False,False
6.1,62.7,False,False
6.15,61.93,False,False
6.21,61.93,False,False
6.26,61.93,False,False
6.31,61.93,False,False
6.36,63.43,False,False
6.42,63.43,False,False
6.47,62.7,False,False
6.52,61.93,False,False
6.57,61.93,False,False
6.62,61.93,False,False
6.68,62.7,False,False
6.74,62.7,False,False
6.79,61.93,False,False
6.85,62.7,False,False
6.9,62.7,False,False
6.95,61.93,False,False
7.01,62.7,False,False
7.06,61.93,False,False
7.12,61.93,False,False
7.17,62.32,False,False
7.23,61.93,False,False
7.29,62.7,False,False
7.34,62.32,False,False
7.42,62.32,False,False
7.47,63.07,False,False
7.52,61.93,False,False
7.58,63.43,False,False
7.63,61.93,False,False
7.68,62.7,False,False
7.74,61.93,False,False
7.79,62.7,False,False
7.85,61.93,False,False
7.9,60.46,False,False
7.95,61.93,False,False
8.01,61.93,False,False
8.06,62.7,False,False
8.12,61.93,False,False
8.18,61.93,False,False
8.23,61.93,False,False
8.29,62.7,False,False
8.34,61.93,False,False
8.39,61.93,False,False
8.45,62.7,False,False
8.5,61.93,False,False
8.55,61.93,False,False
8.61,61.19,False,False
8.66,62.32,False,False
8.71,61.93,False,False
8.76,61.93,False,False
9.82,61.53,False,True
9.9,62.65,False,True
9.96,62.65,False,True
10.01,62.65,False,True
10.06,62.65,False,True
10.11,64.23,False,True
10.17,63.43,False,True
10.22,62.68,False,True
10.27,61.11,False,True
10.32,62.65,False,True
10.38,61.11,False,True
10.43,62.65,False,True
10.49,91.43,False,True
10.54,92.39,False,True
10.59,102.53,False,True
10.64,130.4,False,True
10.69,131.32,False,True
10.75,139.22,False,True
10.8,,False,True
10.86,,False,True
10.92,168.53,False,True
10.97,166.87,False,True
11.02,,False,True
11.08,171.83,False,True
11.13,171.21,False,True
11.18,168.15,False,True
11.24,164.79,False,True
11.31,180.0,False,True
11.36,141.8,False,True
11.41,127.61,False,True
11.47,128.0,False,True
11.52,126.59,False,True
11.57,125.62,False,True
11.62,124.47,False,True
11.68,122.52,False,True
11.73,122.15,False,True
11.78,122.52,False,True
11.84,121.7,False,True
11.89,122.08,False,True
11.94,121.7,False,True
11.99,121.09,False,True
12.04,121.09,False,True
12.1,121.46,False,True
12.15,121.09,False,True
12.21,121.46,False,True
12.26,120.47,False,True
12.32,120.47,False,True
12.37,120.47,False,True
12.42,120.47,False,True
12.48,120.47,False,True
12.53,120.47,False,True
12.58,119.84,False,True
12.63,119.84,False,True
12.69,120.15,False,True
12.76,119.84,False,True
